Departamento,provincia,Poblacion,Cantidad de EE,EmpresasExportadoras_EmpleanMujeres
La Paz,Mendoza,12018.0,33,32
Chapaleufú,La Pampa,12277.0,32,111
Castelli,Buenos Aires,9551.0,32,80
Gobernador Dupuy,San Luis,14334.0,32,71
Fray Mamerto Esquiú,Catamarca,14624.0,32,60
Santa Bárbara,Jujuy,20497.0,32,36
Mburucuyá,Corrientes,11541.0,32,27
Pila,Buenos Aires,4615.0,32,23
El Cuy,Río Negro,6960.0,32,17
Lago Argentino,Santa Cruz,25384.0,31,175
Florentino Ameghino,Buenos Aires,10759.0,31,93
Chicoana,Salta,24715.0,31,77
Atreucó,La Pampa,11053.0,30,106
San Carlos,Salta,7779.0,30,11
General Belgrano,Chaco,12807.0,29,50
Ángel Vicente Peñaloza,La Rioja,3184.0,29,1
Pichi Mahuida,Río Negro,16493.0,28,119
Hipólito Yrigoyen,Buenos Aires,10581.0,28,90
Loventué,La Pampa,9243.0,28,65
General Lavalle,Buenos Aires,4846.0,28,57
Itatí,Corrientes,11946.0,28,32
Lezama,Buenos Aires,6170.0,27,85
Sarmiento,Santiago del Estero,5034.0,27,18
9 de Julio,Río Negro,3682.0,27,13
Los Lagos,Neuquén,15502.0,26,166
Añelo,Neuquén,18150.0,26,109
Sarmiento,Chubut,14477.0,26,95
Puelén,La Pampa,11636.0,26,87
Tres Lomas,Buenos Aires,9090.0,26,76
San Cayetano,Buenos Aires,8918.0,26,68
Rivadavia,Santiago del Estero,5314.0,26,48
Río Senguer,Chubut,6347.0,26,45
Cachi,Salta,8928.0,26,32
Ñorquín,Neuquén,5572.0,26,13
General Alvear,Corrientes,9051.0,25,47
Aguirre,Santiago del Estero,8959.0,25,31
Sobremonte,Córdoba,4381.0,25,22
Santa Catalina,Jujuy,2641.0,25,7
Belgrano,Santiago del Estero,10809.0,24,99
Quemú Quemú,La Pampa,8404.0,24,84
Guatraché,La Pampa,9397.0,24,83
Picunches,Neuquén,8471.0,24,43
Tumbaya,Jujuy,5298.0,24,36
Valcheta,Río Negro,4300.0,24,29
Molinos,Salta,5808.0,24,24
Cafayate,Salta,17822.0,23,95
Conesa,Río Negro,7398.0,23,70
Tapenagá,Chaco,4051.0,23,18
Salliqueló,Buenos Aires,9344.0,22,89
Pellegrini,Buenos Aires,7112.0,22,72
General Guido,Buenos Aires,3157.0,22,23
Ñorquinco,Río Negro,1452.0,22,7
Toay,La Pampa,17927.0,21,105
Corpen Aike,Santa Cruz,15035.0,21,84
San Blas de Los Sauces,La Rioja,4306.0,21,10
Monte Hermoso,Buenos Aires,8444.0,20,95
Loncopué,Neuquén,7696.0,20,49
La Caldera,Salta,12246.0,20,24
Rinconada,Jujuy,1797.0,20,20
Castro Barros,La Rioja,5810.0,20,17
Catriló,La Pampa,8225.0,19,78
