Departamento,provincia,Jardines,Primarias,Secundarias,Superiores No Universitarios,Poblacion Jardines,Poblacion Primarias,Poblacion Secundarias,Poblacion Superiores No Universitarios
ADOLFO GONZALES CHAVES,BUENOS AIRES,13.0,16.0,10.0,1.0,950.0,1401.0,987.0,9509.0
GENERAL LA MADRID,BUENOS AIRES,12.0,16.0,8.0,1.0,866.0,1263.0,830.0,8576.0
LAPRIDA,BUENOS AIRES,11.0,16.0,5.0,1.0,901.0,1366.0,997.0,8232.0
PILA,BUENOS AIRES,8.0,15.0,2.0,1.0,408.0,592.0,361.0,3254.0
GENERAL GUIDO,BUENOS AIRES,4.0,14.0,3.0,0.0,236.0,338.0,269.0,2314.0
SUIPACHA,BUENOS AIRES,13.0,14.0,6.0,0.0,981.0,1328.0,1070.0,8357.0
PUNTA INDIO,BUENOS AIRES,9.0,14.0,6.0,1.0,936.0,1384.0,873.0,8968.0
BENITO JUAREZ,BUENOS AIRES,11.0,13.0,10.0,2.0,1608.0,2277.0,1706.0,15594.0
GENERAL PINTO,BUENOS AIRES,9.0,13.0,7.0,1.0,1104.0,1321.0,976.0,9441.0
ALBERTI,BUENOS AIRES,10.0,13.0,6.0,1.0,904.0,1378.0,1010.0,9614.0
CAPITAN SARMIENTO,BUENOS AIRES,11.0,12.0,6.0,1.0,1180.0,1713.0,1230.0,11759.0
VILLA GESELL,BUENOS AIRES,11.0,12.0,12.0,3.0,2583.0,4267.0,3255.0,27220.0
LEZAMA,BUENOS AIRES,5.0,11.0,3.0,1.0,443.0,639.0,471.0,4617.0
GENERAL ARENALES,BUENOS AIRES,12.0,11.0,10.0,1.0,1212.0,1535.0,1157.0,12327.0
FLORENTINO AMEGHINO,BUENOS AIRES,9.0,10.0,8.0,1.0,876.0,1275.0,950.0,7658.0
SAN CAYETANO,BUENOS AIRES,7.0,10.0,3.0,1.0,615.0,865.0,643.0,6795.0
PINAMAR,BUENOS AIRES,12.0,10.0,9.0,3.0,3043.0,4519.0,3379.0,28283.0
GENERAL LAVALLE,BUENOS AIRES,7.0,9.0,3.0,1.0,419.0,636.0,436.0,3355.0
HIPOLITO YRIGOYEN,BUENOS AIRES,6.0,8.0,5.0,1.0,789.0,1110.0,817.0,7865.0
TRES LOMAS,BUENOS AIRES,7.0,7.0,4.0,1.0,682.0,989.0,702.0,6717.0
TORDILLO,BUENOS AIRES,4.0,5.0,1.0,0.0,244.0,298.0,182.0,1804.0
SALLIQUELO,BUENOS AIRES,5.0,5.0,4.0,1.0,653.0,963.0,726.0,7002.0
MONTE HERMOSO,BUENOS AIRES,5.0,3.0,3.0,1.0,596.0,942.0,654.0,6252.0
CORONEL DE MARINA LEONARDO ROSALES,BUENOS AIRES,,,,,4705.0,7353.0,5357.0,48408.0
CAPITAL,CATAMARCA,1558.0,1336.0,1060.0,356.0,14250.0,20132.0,14501.0,137583.0
LA PAZ,CATAMARCA,123.0,159.0,55.0,9.0,2352.0,3146.0,2384.0,18459.0
SANTA MARIA,CATAMARCA,97.0,107.0,70.0,5.0,2179.0,2998.0,2186.0,19459.0
BELEN,CATAMARCA,43.0,57.0,27.0,4.0,2482.0,3513.0,2838.0,21520.0
SANTA ROSA,CATAMARCA,41.0,47.0,14.0,5.0,1154.0,1476.0,1162.0,9525.0
TINOGASTA,CATAMARCA,30.0,39.0,19.0,2.0,2024.0,2784.0,2255.0,18191.0
CAPAYAN,CATAMARCA,26.0,29.0,13.0,2.0,1697.0,2244.0,1686.0,13844.0
ANCASTI,CATAMARCA,9.0,28.0,5.0,0.0,243.0,334.0,278.0,2427.0
EL ALTO,CATAMARCA,19.0,27.0,10.0,0.0,394.0,517.0,402.0,3062.0
ANDALGALA,CATAMARCA,17.0,26.0,15.0,1.0,1535.0,2037.0,1707.0,14266.0
POMAN,CATAMARCA,13.0,20.0,12.0,1.0,988.0,1480.0,1116.0,8635.0
VALLE VIEJO,CATAMARCA,15.0,18.0,13.0,1.0,2667.0,3862.0,2770.0,24652.0
AMBATO,CATAMARCA,12.0,18.0,5.0,0.0,374.0,439.0,329.0,3945.0
PACLIN,CATAMARCA,15.0,13.0,6.0,1.0,317.0,512.0,356.0,3511.0
FRAY MAMERTO ESQUIU,CATAMARCA,10.0,10.0,7.0,1.0,1207.0,1651.0,1145.0,10621.0
ANTOFAGASTA DE LA SIERRA,CATAMARCA,4.0,5.0,2.0,1.0,142.0,241.0,142.0,1297.0
ALMIRANTE BROWN,CHACO,168.0,199.0,159.0,12.0,4089.0,5089.0,3803.0,24813.0
SAN FERNANDO,CHACO,234.0,195.0,154.0,64.0,31821.0,45514.0,30260.0,306169.0
25 DE MAYO,CHACO,140.0,191.0,88.0,11.0,3301.0,4543.0,3201.0,21561.0
9 DE JULIO,CHACO,134.0,171.0,54.0,6.0,2987.0,3572.0,2556.0,21108.0
MAIPU,CHACO,118.0,138.0,49.0,14.0,2701.0,3468.0,2248.0,17937.0
LIBERTADOR GENERAL SAN MARTIN,CHACO,56.0,100.0,29.0,14.0,6514.0,8406.0,5668.0,44716.0
