Departamento,provincia,Poblacion,Cantidad de EE,EmpresasExportadoras_EmpleanMujeres
PUAN,BUENOS AIRES,16391.0,45,73
CARLOS TEJEDOR,BUENOS AIRES,14007.0,45,47
VALLE FERTIL,SAN JUAN,8425.0,45,17
SAN ANTONIO,JUJUY,6729.0,45,7
SAAVEDRA,BUENOS AIRES,21407.0,44,128
CHAMICAL,LA RIOJA,15630.0,44,43
POMAN,CATAMARCA,12219.0,44,20
TUPUNGATO,MENDOZA,41168.0,43,88
FAMAILLA,TUCUMAN,42669.0,43,65
TRANCAS,TUCUMAN,23438.0,43,35
LACAR,NEUQUEN,39567.0,42,202
SANTA LUCIA,SAN JUAN,62697.0,42,120
GENERAL VIAMONTE,BUENOS AIRES,22530.0,42,69
GUAMINI,BUENOS AIRES,11662.0,42,56
VALLE VIEJO,CATAMARCA,33951.0,42,46
TAPALQUE,BUENOS AIRES,10695.0,42,39
ATAMISQUI,SANTIAGO DEL ESTERO,14894.0,42,4
ANCASTI,CATAMARCA,3282.0,42,1
FELICIANO,ENTRE RIOS,16717.0,41,33
GUASAYAN,SANTIAGO DEL ESTERO,9251.0,41,3
ISLAS DEL IBICUY,ENTRE RIOS,13984.0,40,31
GARAY,SANTA FE,24853.0,39,80
ADOLFO GONZALES CHAVES,BUENOS AIRES,12847.0,39,65
TAFI DEL VALLE,TUCUMAN,22382.0,39,35
POCHO,CORDOBA,5070.0,39,5
GENERAL DONOVAN,CHACO,15061.0,39,3
GENERAL LAS HERAS,BUENOS AIRES,17980.0,38,75
GENERAL LA MADRID,BUENOS AIRES,11535.0,37,53
CALINGASTA,SAN JUAN,10667.0,37,43
VILLA GESELL,BUENOS AIRES,37325.0,36,174
BENITO JUAREZ,BUENOS AIRES,21185.0,35,97
FRAY JUSTO SANTA MARIA DE ORO,CHACO,10643.0,35,12
PACLIN,CATAMARCA,4696.0,35,9
AMBATO,CATAMARCA,5087.0,35,8
PINAMAR,BUENOS AIRES,39224.0,34,178
GENERAL ARENALES,BUENOS AIRES,16231.0,34,67
LA COCHA,TUCUMAN,21196.0,34,23
SAUCE,CORRIENTES,10382.0,34,19
FAMATINA,LA RIOJA,6984.0,34,10
IRUYA,SALTA,6116.0,34,1
SAN SALVADOR,ENTRE RIOS,20786.0,33,64
SUIPACHA,BUENOS AIRES,11736.0,33,62
LAPRIDA,BUENOS AIRES,11496.0,33,53
ALBARDON,SAN JUAN,31281.0,33,42
PEHUENCHES,NEUQUEN,29721.0,32,110
UTRACAN,LA PAMPA,17686.0,32,80
SILIPICA,SANTIAGO DEL ESTERO,9766.0,32,5
HUILICHES,NEUQUEN,20853.0,31,72
CONHELO,LA PAMPA,15094.0,31,66
TILCARA,JUJUY,14621.0,31,28
REALICO,LA PAMPA,17356.0,30,92
CAPITAN SARMIENTO,BUENOS AIRES,15882.0,30,82
PUNTA INDIO,BUENOS AIRES,12161.0,30,48
GENERAL PINTO,BUENOS AIRES,12842.0,30,47
IGLESIA,SAN JUAN,8826.0,30,42
ANGACO,SAN JUAN,10172.0,30,10
ALBERTI,BUENOS AIRES,12906.0,29,73
CERRILLOS,SALTA,55713.0,29,53
SANTA BARBARA,JUJUY,20497.0,29,17
FLORENTINO AMEGHINO,BUENOS AIRES,10759.0,28,56
RANCUL,LA PAMPA,11090.0,28,39
LIBERTAD,CHACO,13775.0,28,35
FRAY MAMERTO ESQUIU,CATAMARCA,14624.0,28,24
FLORENTINO AMEGHINO,CHUBUT,1782.0,28,4
CASTELLI,BUENOS AIRES,9551.0,27,48
CHICOANA,SALTA,24715.0,27,45
MBURUCUYA,CORRIENTES,11541.0,27,10
CHOS MALAL,NEUQUEN,18289.0,26,65
CHAPALEUFU,LA PAMPA,12277.0,26,63
ARAUCO,LA RIOJA,16251.0,26,46
PRESIDENCIA DE LA PLAZA,CHACO,13938.0,26,39
PILA,BUENOS AIRES,4615.0,26,7
GOBERNADOR DUPUY,SAN LUIS,14334.0,25,34
SANTA CATALINA,JUJUY,2641.0,25,3
2 DE ABRIL,CHACO,8310.0,24,29
GAIMAN,CHUBUT,12505.0,23,58
CACHI,SALTA,8928.0,23,17
ITATI,CORRIENTES,11946.0,23,12
LAGO ARGENTINO,SANTA CRUZ,25384.0,22,135
PICHI MAHUIDA,RIO NEGRO,16493.0,22,74
ATREUCO,LA PAMPA,11053.0,22,62
ALUMINE,NEUQUEN,10173.0,22,45
RIO SENGUER,CHUBUT,6347.0,22,21
AGUIRRE,SANTIAGO DEL ESTERO,8959.0,22,12
LOS LAGOS,NEUQUEN,15502.0,21,118
SAN CAYETANO,BUENOS AIRES,8918.0,21,45
PILCANIYEU,RIO NEGRO,9309.0,21,37
TUMBAYA,JUJUY,5298.0,21,21
