Cue,NivelEducativo
20078100,Primario
20078100,Secundario
20078300,Jardin
20078300,Primario
20078300,Secundario
20078400,Primario
20078500,Jardin
20078500,Primario
20078500,Secundario
20078600,Primario
20078900,Jardin
20078900,Primario
20079000,Jardin
20079100,Primario
20079400,Primario
20079500,SNU
20079700,Jardin
20079900,Primario
20080000,Jardin
20080001,Jardin
20080002,Jardin
20080300,Jardin
20080500,Primario
20080800,Secundario
20080900,Primario
20081000,Jardin
20081100,Primario
20081300,Primario
20081400,Primario
20081600,Jardin
20081800,Primario
20082000,Primario
20082200,Jardin
20082200,Primario
20082200,Secundario
20082300,Jardin
20082300,Primario
20082300,Secundario
20082400,Primario
20082500,Secundario
20082600,Primario
20082800,Jardin
20082800,Primario
20082800,Secundario
20082900,Primario
20083000,Primario
20083100,Primario
20083200,Jardin
20083200,Primario
20083300,Jardin
20083300,Primario
20083300,Secundario
20083400,Jardin
20083400,Primario
20083400,Secundario
20083500,Secundario
20083800,Secundario
20083900,Secundario
20084000,Secundario
20084300,Secundario
20084500,Jardin
20084500,Primario
20084500,Secundario
20084600,Primario
20084800,Jardin
20084801,Jardin
20084802,Jardin
20084803,Jardin
20084804,Jardin
20084900,Secundario
20085000,Primario
20085200,SNU
20085400,SNU
20085500,Jardin
20085500,Primario
20085500,Secundario
20085600,Jardin
20085600,Primario
20085900,Secundario
20086000,Jardin
20086000,Primario
20086000,Secundario
20086200,Primario
20086200,Secundario
20086400,Primario
20086500,Secundario
20086600,Jardin
20086600,Primario
20086600,SNU
20086600,Secundario
20086700,SNU
20086700,Secundario
20086800,Jardin
20086800,Primario
20086800,Secundario
20086900,Primario
20087000,SNU
20087100,Secundario
20087200,Jardin
20087201,Jardin
20087202,Jardin
20087300,Jardin
20087300,Primario
20087300,Secundario
20087400,Primario
20087500,Jardin
20087500,Primario
20087500,Secundario
20087600,Secundario
20087700,Primario
20087800,Primario
20087900,Jardin
20087902,Jardin
20087903,Jardin
20088000,Primario
20088100,Primario
20088200,Primario
20088300,Secundario
20088400,Primario
20088500,Jardin
20088500,Primario
20088500,Secundario
20088600,Jardin
20088600,Primario
20088600,Secundario
20088700,Primario
20088800,Primario
20088900,Jardin
20089000,SNU
20089100,Jardin
20089100,Primario
20089200,Primario
20089300,Primario
20089400,Primario
20089500,Primario
20089500,SNU
20089501,Jardin
20089502,Secundario
20089600,Primario
20089700,Jardin
20089700,Primario
20089700,Secundario
