Departamento,provincia,Poblacion,Cantidad de EE,EmpresasExportadoras_EmpleanMujeres
Atamisqui,Santiago del Estero,14894.0,42,0.0
Guasayán,Santiago del Estero,9251.0,42,0.0
Angaco,San Juan,10172.0,41,4.0
Laprida,Buenos Aires,11496.0,41,2.0
Suipacha,Buenos Aires,11736.0,41,0.0
La Cocha,Tucumán,21196.0,40,12.0
Famatina,La Rioja,6984.0,40,0.0
Pehuenches,Neuquén,29721.0,39,52.0
San Martín,San Juan,15037.0,39,16.0
General Pinto,Buenos Aires,12842.0,39,9.0
San Miguel,Corrientes,12700.0,39,5.0
Rancul,La Pampa,11090.0,39,5.0
Alberti,Buenos Aires,12906.0,38,20.0
Arauco,La Rioja,16251.0,38,17.0
Iglesia,San Juan,8826.0,38,16.0
Minas,Neuquén,9267.0,38,2.0
Presidencia de la Plaza,Chaco,13938.0,38,0.0
Capitán Sarmiento,Buenos Aires,15882.0,37,18.0
Aluminé,Neuquén,10173.0,37,9.0
Concepción,Misiones,10303.0,37,2.0
Chos Malal,Neuquén,18289.0,37,0.0
Maipú,Buenos Aires,11253.0,36,8.0
Conhelo,La Pampa,15094.0,36,7.0
Cerrillos,Salta,55713.0,36,4.0
Pilcaniyeu,Río Negro,9309.0,36,0.0
Iruya,Salta,6116.0,36,0.0
Paclín,Catamarca,4696.0,35,1.0
Punta Indio,Buenos Aires,12161.0,35,0.0
Ambato,Catamarca,5087.0,35,0.0
Gaiman,Chubut,12505.0,34,9.0
Tilcara,Jujuy,14621.0,34,0.0
Silípica,Santiago del Estero,9766.0,34,0.0
2 de Abril,Chaco,8310.0,33,8.0
La Paz,Mendoza,12018.0,33,6.0
Chapaleufú,La Pampa,12277.0,32,20.0
Gobernador Dupuy,San Luis,14334.0,32,17.0
El Cuy,Río Negro,6960.0,32,6.0
Castelli,Buenos Aires,9551.0,32,0.0
Pila,Buenos Aires,4615.0,32,0.0
Fray Mamerto Esquiú,Catamarca,14624.0,32,0.0
Mburucuyá,Corrientes,11541.0,32,0.0
Santa Bárbara,Jujuy,20497.0,32,0.0
Lago Argentino,Santa Cruz,25384.0,31,21.0
Florentino Ameghino,Buenos Aires,10759.0,31,11.0
Chicoana,Salta,24715.0,31,8.0
Atreucó,La Pampa,11053.0,30,8.0
San Carlos,Salta,7779.0,30,0.0
General Belgrano,Chaco,12807.0,29,3.0
Ángel Vicente Peñaloza,La Rioja,3184.0,29,0.0
Pichi Mahuida,Río Negro,16493.0,28,8.0
General Lavalle,Buenos Aires,4846.0,28,4.0
Hipólito Yrigoyen,Buenos Aires,10581.0,28,0.0
Itatí,Corrientes,11946.0,28,0.0
Loventué,La Pampa,9243.0,28,0.0
Lezama,Buenos Aires,6170.0,27,5.0
Sarmiento,Santiago del Estero,5034.0,27,2.0
9 de Julio,Río Negro,3682.0,27,1.0
Añelo,Neuquén,18150.0,26,36.0
Los Lagos,Neuquén,15502.0,26,6.0
Puelén,La Pampa,11636.0,26,5.0
Sarmiento,Chubut,14477.0,26,4.0
San Cayetano,Buenos Aires,8918.0,26,2.0
Cachi,Salta,8928.0,26,2.0
Rivadavia,Santiago del Estero,5314.0,26,2.0
Tres Lomas,Buenos Aires,9090.0,26,1.0
Río Senguer,Chubut,6347.0,26,0.0
Ñorquín,Neuquén,5572.0,26,0.0
General Alvear,Corrientes,9051.0,25,4.0
Sobremonte,Córdoba,4381.0,25,2.0
Aguirre,Santiago del Estero,8959.0,25,1.0
Santa Catalina,Jujuy,2641.0,25,0.0
Belgrano,Santiago del Estero,10809.0,24,17.0
Molinos,Salta,5808.0,24,10.0
Quemú Quemú,La Pampa,8404.0,24,6.0
Guatraché,La Pampa,9397.0,24,2.0
Tumbaya,Jujuy,5298.0,24,1.0
Picunches,Neuquén,8471.0,24,0.0
Valcheta,Río Negro,4300.0,24,0.0
Cafayate,Salta,17822.0,23,35.0
Tapenagá,Chaco,4051.0,23,1.0
Conesa,Río Negro,7398.0,23,0.0
Salliqueló,Buenos Aires,9344.0,22,3.0
Pellegrini,Buenos Aires,7112.0,22,2.0
General Guido,Buenos Aires,3157.0,22,1.0
Ñorquinco,Río Negro,1452.0,22,1.0
Corpen Aike,Santa Cruz,15035.0,21,6.0
San Blas de Los Sauces,La Rioja,4306.0,21,2.0
Toay,La Pampa,17927.0,21,0.0
Castro Barros,La Rioja,5810.0,20,11.0
Rinconada,Jujuy,1797.0,20,2.0
Monte Hermoso,Buenos Aires,8444.0,20,0.0
Loncopué,Neuquén,7696.0,20,0.0
La Caldera,Salta,12246.0,20,0.0
Catriló,La Pampa,8225.0,19,23.0
9 de Julio,San Juan,12498.0,19,18.0
Susques,Jujuy,3966.0,19,11.0
La Viña,Salta,8888.0,19,3.0
Lago Buenos Aires,Santa Cruz,12584.0,18,25.0
Los Andes,Salta,7182.0,18,15.0
Hucal,La Pampa,7713.0,17,9.0
Trenel,La Pampa,5637.0,17,4.0
Catán Lil,Neuquén,2641.0,17,0.0
Tehuelches,Chubut,5947.0,16,8.0
Independencia,La Rioja,2399.0,15,0.0
Guachipas,Salta,3491.0,15,0.0
Valle Grande,Jujuy,2490.0,14,2.0
Picún Leufú,Neuquén,5087.0,14,0.0
Mitre,Santiago del Estero,1440.0,14,0.0
Magallanes,Santa Cruz,12828.0,13,31.0
Collón Curá,Neuquén,4832.0,13,4.0
Zonda,San Juan,6674.0,13,2.0
Tordillo,Buenos Aires,2528.0,13,0.0
La Candelaria,Salta,7182.0,13,0.0
Ullum,San Juan,6454.0,13,0.0
Antofagasta de la Sierra,Catamarca,1822.0,12,5.0
Languiñeo,Chubut,2862.0,12,0.0
Vinchina,La Rioja,2695.0,12,0.0
La Poma,Salta,1789.0,12,0.0
Río Chico,Santa Cruz,6271.0,11,3.0
Berón de Astrada,Corrientes,2808.0,10,6.0
Gastre,Chubut,1181.0,10,0.0
Chical Co,La Pampa,1461.0,10,0.0
San Antonio,Jujuy,6729.0,9,0.0
General Lamadrid,La Rioja,1885.0,9,0.0
Curacó,La Pampa,1103.0,8,6.0
Caleu Caleu,La Pampa,2611.0,8,5.0
Paso de Indios,Chubut,1882.0,8,1.0
Telsen,Chubut,1608.0,8,0.0
Chalileo,La Pampa,2868.0,8,0.0
Limay Mahuida,La Pampa,413.0,5,0.0
Florentino Ameghino,Chubut,1782.0,4,2.0
Lihuel Calel,La Pampa,428.0,4,0.0
Mártires,Chubut,744.0,3,0.0
Sanagasta,La Rioja,2994.0,3,0.0
Tolhuin,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",6027.0,1,6.0
